    igrf00s
  8  6371.2 2005.0
   1  0     14.6      0.
   1  1     10.7    -22.5
   2  0    -12.4      0.
   2  1      1.1    -20.6
   2  2     -1.1     -9.6
   3  0      0.7      0.
   3  1     -5.4      6.0
   3  2      0.9     -0.1
   3  3     -7.7    -14.2
   4  0     -1.3      0.
   4  1      1.6      2.1
   4  2     -7.3      1.3
   4  3      2.9      5.0
   4  4     -3.2      0.3
   5  0      0.0      0.
   5  1     -0.7     -0.1
   5  2     -2.1      0.6
   5  3     -2.8      1.7
   5  4     -0.8      1.9
   5  5      2.5      0.1
   6  0      1.0      0.
   6  1     -0.4     -0.2
   6  2      0.9     -1.4
   6  3      2.0      0.0
   6  4     -0.6     -0.8
   6  5     -0.3      0.0
   6  6      1.2      0.9
   7  0     -0.4      0.
   7  1     -0.4      1.1
   7  2     -0.3      0.0
   7  3      1.1      0.3
   7  4      1.1     -0.1
   7  5     -0.2     -0.6
   7  6      0.6     -0.7
   7  7     -0.9      0.2
   8  0     -0.3      0.
   8  1      0.2      0.1
   8  2     -0.3      0.0
   8  3      0.4      0.0
   8  4     -1.0      0.3
   8  5      0.3      0.6
   8  6     -0.5     -0.4
   8  7     -0.7      0.3
   8  8     -0.4      0.7
